1,8,1,62
2,9,1,36
3,10,1,71
4,11,1,43
5,12,1,52
6,7,1,36
7,5,1,1
8,1,1,0
9,3,1,3
10,2,1,5
11,1,1,3
12,7,7,30
13,7,8,9
14,7,9,15
15,7,11,10
16,8,7,20
17,8,8,8
18,8,10,10
19,9,9,10
20,9,10,10
21,9,8,17
22,9,6,7
23,9,4,4
24,10,8,10
25,10,10,2
26,10,9,1
27,10,12,10
28,11,2,20
29,11,7,5
30,11,8,14
31,11,10,8
32,11,11,8
33,12,2,18
34,12,9,4
35,12,10,3
36,12,11,9
37,12,12,9
38,1,2,2
39,1,3,1
40,1,4,1
41,1,6,1
42,1,7,2
43,1,8,2
44,1,9,1
45,1,10,1
46,1,11,1
47,1,12,1
48,2,2,3
49,2,3,1
50,2,6,1
51,2,10,1
52,2,11,1
53,2,12,1
54,3,3,1
55,3,4,1
56,3,5,1
57,3,6,1
58,3,7,1
59,3,8,1
60,3,9,1
61,3,10,1
62,3,12,1
63,4,2,8
64,4,3,2
65,4,4,1
66,4,5,2
67,4,6,1
68,4,7,3
69,4,9,2
70,4,10,2
71,10,1,213
72,11,1,23
73,9,2,5
